80.252.37.124	124-37-252-80.onstage.net.
83.58.162.135	135.red-83-58-162.dynamicip.rima-tde.net.
87.208.222.192	ip192-222-208-87.adsl2.static.versatel.nl.
88.1.23.54	54.red-88-1-23.dynamicip.rima-tde.net.
91.117.83.175	175.83.117.91.dynamic.reverse-mundo-r.com.
95.21.92.127	127.92.21.95.dynamic.jazztel.es.
96.114.15.119	unknown
96.60.22.171	h96-60-22-171.lactwa.dsl.dynamic.tds.net.
97.124.180.10	97-124-180-10.hlrn.qwest.net.
97.126.130.247	97-126-130-247.slkc.qwest.net.
97.82.243.83	97-82-243-83.dhcp.hckr.nc.charter.com.
97.89.20.247	97-89-20-247.dhcp.gwnt.ga.charter.com.
97.90.196.211	97-90-196-211.dhcp.losa.ca.charter.com.
98.145.153.84	cpe-98-145-153-84.natnow.res.rr.com.
98.245.172.193	c-98-245-172-193.hsd1.co.comcast.net.
